attempt,nodes,edges,n,distance,local_searcher-local_nodes,local_searcher-remote_nodes,remote_searcher-local_nodes,remote_searcher-remote_nodes,local_searcher-local_nodes-transitive,local_searcher-remote_nodes-transitive,remote_searcher-local_nodes-transitive,remote_searcher-remote_nodes-transitive
20,100,200,12,8,56,805415,27137,35989,62,53506,27286,49339
20,100,200,16,8,56,805415,27137,35989,80,53612,22315,45135
21,100,200,4,-1,120,25925,27470,14261,8,32488,29862,16834
21,100,200,8,-1,120,25925,27470,14261,10,25772,16672,13642
21,100,200,12,-1,120,25925,27470,14261,10,21271,14128,12794
21,100,200,16,-1,120,25925,27470,14261,11,22340,15869,13449
22,100,200,4,-1,98,947221,26083,39895,1051,1485476,25677,198526
22,100,200,8,-1,98,947221,26083,39895,2312,2446620,31626,337994
22,100,200,12,-1,98,947221,26083,39895,2203,2750798,38509,334301
22,100,200,16,-1,98,947221,26083,39895,1921,2793213,38046,328932
23,100,200,4,1,10,21654,14288,10891,19,28183,14513,21290
23,100,200,8,1,10,21654,14288,10891,42,52136,24293,42938
23,100,200,12,1,10,21654,14288,10891,41,51490,27479,40339
23,100,200,16,1,10,21654,14288,10891,55,53566,26083,37970
24,100,200,4,4,29,178723,26534,20593,13,27728,27696,17767
24,100,200,8,4,29,178723,26534,20593,60,48401,27415,34356
24,100,200,12,4,29,178723,26534,20593,59,55634,31106,43457
24,100,200,16,4,29,178723,26534,20593,59,50671,25333,31815
25,100,200,4,4,50,438320,27890,25132,37,39965,28178,25590
25,100,200,8,4,50,438320,27890,25132,70,54494,28764,44620
25,100,200,12,4,50,438320,27890,25132,35,52463,27088,44570
25,100,200,16,4,50,438320,27890,25132,35,54130,22628,44409
26,100,200,4,3,40,190542,26889,17811,44,33922,23313,27841
26,100,200,8,3,40,190542,26889,17811,61,53467,39837,15475
26,100,200,12,3,40,190542,26889,17811,50,32393,27402,46692
26,100,200,16,3,40,190542,26889,17811,59,50649,25335,36867
27,100,200,4,8,119,957944,262452,21404,497,546662,27525,167096
27,100,200,8,8,119,957944,262452,21404,42,47542,28241,40997
27,100,200,12,8,119,957944,262452,21404,53,53521,30651,52032
27,100,200,16,8,119,957944,262452,21404,49,54018,26850,46984
28,100,200,4,2,11,33734,23596,12632,26,27997,23349,19206
28,100,200,8,2,11,33734,23596,12632,34,42785,23064,34246
28,100,200,12,2,11,33734,23596,12632,45,51302,27381,42649
28,100,200,16,2,11,33734,23596,12632,69,56426,20478,42698
29,100,200,4,4,17,127937,22536,15699,10,26021,23554,16604
29,100,200,8,4,17,127937,22536,15699,34,47052,25839,43220
29,100,200,12,4,17,127937,22536,15699,42,46599,28002,41998
29,100,200,16,4,17,127937,22536,15699,47,53395,23015,44659
30,100,200,4,-1,131,931103,24932,32058,610,1495125,27058,173516
30,100,200,8,-1,131,931103,24932,32058,1712,2639415,33791,273712
30,100,200,12,-1,131,931103,24932,32058,2375,2803247,35719,369658
30,100,200,16,-1,131,931103,24932,32058,2296,2733338,40158,333752
