attempt,nodes,edges,n,distance,local_searcher-local_nodes,local_searcher-remote_nodes,remote_searcher-local_nodes,remote_searcher-remote_nodes,local_searcher-local_nodes-transitive,local_searcher-remote_nodes-transitive,remote_searcher-local_nodes-transitive,remote_searcher-remote_nodes-transitive
22,100,200,12,-1,99,15866,577,18409,2321,777262,1985,765611
22,100,200,16,-1,99,15866,577,18409,2065,780522,1923,769592
23,100,200,4,1,8,671,530,922,16,5994,433,5329
23,100,200,8,1,8,671,530,922,43,14181,458,13339
23,100,200,12,1,8,671,530,922,45,11667,766,13014
23,100,200,16,1,8,671,530,922,51,13001,554,14765
24,100,200,4,4,39,4607,438,3821,12,2759,400,3775
24,100,200,8,4,39,4607,438,3821,37,13324,450,11245
24,100,200,12,4,39,4607,438,3821,67,11214,459,14410
24,100,200,16,4,39,4607,438,3821,51,16747,558,13822
25,100,200,4,4,115,8530,384,5087,24,5538,410,7553
25,100,200,8,4,115,8530,384,5087,52,12977,530,10661
25,100,200,12,4,115,8530,384,5087,55,13105,462,12417
25,100,200,16,4,115,8530,384,5087,66,11650,521,14331
26,100,200,4,3,41,3324,501,4241,50,5919,475,7201
26,100,200,8,3,41,3324,501,4241,71,12272,497,13708
26,100,200,12,3,41,3324,501,4241,54,12598,450,12278
26,100,200,16,3,41,3324,501,4241,36,12164,628,17447
27,100,200,4,8,56,17852,536,16265,207,85384,792,73777
27,100,200,8,8,56,17852,536,16265,94,13504,581,15603
27,100,200,12,8,56,17852,536,16265,41,12216,482,12754
27,100,200,16,8,56,17852,536,16265,77,12372,362,12474
28,100,200,4,2,9,1207,524,1099,22,4404,489,2814
28,100,200,8,2,9,1207,524,1099,50,10640,483,11245
28,100,200,12,2,9,1207,524,1099,72,15020,374,25641
28,100,200,16,2,9,1207,524,1099,37,16720,575,15406
29,100,200,4,4,160,3839,377,2975,9,2162,325,2444
29,100,200,8,4,160,3839,377,2975,33,10062,396,11083
29,100,200,12,4,160,3839,377,2975,38,14753,448,12200
29,100,200,16,4,160,3839,377,2975,49,14546,430,16127
30,100,200,4,-1,161,16340,446,14085,440,205838,1065,195991
30,100,200,8,-1,161,16340,446,14085,1524,684056,2316,687336
30,100,200,12,-1,161,16340,446,14085,2092,753869,8436,749534
30,100,200,16,-1,161,16340,446,14085,2351,834672,2337,753219
31,100,200,4,0,3,1,591,399,20,6619,493,5243
31,100,200,8,0,3,1,591,399,112,12591,492,13334
31,100,200,12,0,3,1,591,399,41,12155,559,12033
31,100,200,16,0,3,1,591,399,36,16249,566,16464
32,100,200,4,-1,7,398,537,1213,3,533,520,853
32,100,200,8,-1,7,398,537,1213,2,311,499,761
32,100,200,12,-1,7,398,537,1213,4,798,613,849
32,100,200,16,-1,7,398,537,1213,3,434,609,946
33,100,200,4,3,39,3719,478,3142,16,5656,654,5273
33,100,200,8,3,39,3719,478,3142,100,12440,641,13293
33,100,200,12,3,39,3719,478,3142,79,14352,628,13336
33,100,200,16,3,39,3719,478,3142,59,13844,557,12825
34,100,200,4,6,70,9247,496,9054,159,63810,653,72285
34,100,200,8,6,70,9247,496,9054,81,15069,590,14306
34,100,200,12,6,70,9247,496,9054,41,17793,442,12628
34,100,200,16,6,70,9247,496,9054,36,12441,595,13679
35,100,200,4,-1,8,381,601,684,17,451,462,1091
35,100,200,8,-1,8,381,601,684,21,612,368,671
35,100,200,12,-1,8,381,601,684,3,682,380,644
35,100,200,16,-1,8,381,601,684,22,452,392,631
36,100,200,4,6,75,11220,336,8754,233,105105,610,88401
36,100,200,8,6,75,11220,336,8754,34,14486,460,12423
36,100,200,12,6,75,11220,336,8754,53,11097,425,15081
36,100,200,16,6,75,11220,336,8754,69,14362,473,13825
37,100,200,4,6,85,10514,404,8099,239,96404,620,95333
37,100,200,8,6,85,10514,404,8099,57,13613,404,10975
37,100,200,12,6,85,10514,404,8099,51,14505,664,13437
37,100,200,16,6,85,10514,404,8099,55,14685,497,14451
38,100,200,4,6,61,8831,428,10198,221,77487,688,72130
38,100,200,8,6,61,8831,428,10198,35,14707,471,14234
38,100,200,12,6,61,8831,428,10198,64,25896,669,16591
38,100,200,16,6,61,8831,428,10198,53,13979,460,15842
39,100,200,4,7,95,11782,531,11714,179,73693,659,74288
39,100,200,8,7,95,11782,531,11714,73,11129,467,16064
39,100,200,12,7,95,11782,531,11714,35,12070,461,12404
39,100,200,16,7,95,11782,531,11714,66,11740,542,13544
0,100,250,4,3,98,7264,2793,3274,493,10838,1711,5424
0,100,250,8,3,98,7264,2793,3274,879,22090,1091,22487
0,100,250,12,3,98,7264,2793,3274,362,16000,1165,16911
0,100,250,16,3,98,7264,2793,3274,459,23916,1194,17117
1,100,250,4,-1,31,948,1244,1132,21,1705,680,1701
1,100,250,8,-1,31,948,1244,1132,109,1693,657,1245
1,100,250,12,-1,31,948,1244,1132,65,1546,615,1453
1,100,250,16,-1,31,948,1244,1132,27,1473,556,1342
2,100,250,4,5,92,11424,692,7551,1490,164552,1359,152316
2,100,250,8,5,92,11424,692,7551,234,15748,641,18549
2,100,250,12,5,92,11424,692,7551,133,17373,787,18396
2,100,250,16,5,92,11424,692,7551,141,20329,600,17547
3,100,250,4,2,15,2796,773,2170,162,9751,722,8561
3,100,250,8,2,15,2796,773,2170,193,19496,811,16161
3,100,250,12,2,15,2796,773,2170,233,15857,658,17824
3,100,250,16,2,15,2796,773,2170,248,19680,853,33876
4,100,250,4,5,108,13234,606,8588,1291,166126,1014,154988
4,100,250,8,5,108,13234,606,8588,273,21229,691,18718
4,100,250,12,5,108,13234,606,8588,173,19881,549,17014
